localId,brand,manufacturer,name,categoryPath,description,manufacturerRef,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
pastas-de-dientes-sensitive,Pierrot,"Fushima, S.L.",Sensitive,Pastas de dientes,Formulación específica para dientes sensibles. Ayuda a reducir la sensibilidad dental diaria. Indicada para adultos con encías delicadas.,,https://www.pierrot.es/wp-content/uploads/2025/07/Sensitive-e1752743828279.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
pastas-de-dientes-whitening,Pierrot,"Fushima, S.L.",Whitening,Pastas de dientes,Ayuda a recuperar el blanco natural del esmalte. Indicada para adultos que buscan una sonrisa más luminosa y cuidada.,,https://www.pierrot.es/wp-content/uploads/2025/06/Pasta_Whitening-Photoroom-e1748960901433.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
pastas-de-dientes-gum-protection,Pierrot,"Fushima, S.L.",Gum Protection,Pastas de dientes,Refuerza y protege las encías frente a la inflamación y el sangrado. Indicada para adultos con encías sensibles o propensas a la irritación.,,https://www.pierrot.es/wp-content/uploads/2025/06/Pasta_Gum-Protection-Photoroom-e1748961089290.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
pastas-de-dientes-healthy-gums,Pierrot,"Fushima, S.L.",Healthy Gums,Pastas de dientes,Con acción antiplaca y antiséptica para mantener unas encías sanas. Recomendada para el cuidado diario de encías sensibles.,,https://www.pierrot.es/wp-content/uploads/2025/06/Pasta_Healthy-Gums-Photoroom-e1748961404470.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
pastas-de-dientes-anti-placa,Pierrot,"Fushima, S.L.",Anti-placa,Pastas de dientes,Formulación específica para reducir y prevenir la placa bacteriana. Indicada para adultos que buscan una limpieza profunda y prolongada.,,https://www.pierrot.es/wp-content/uploads/2025/06/Pasta_Antiplaca-Photoroom-e1748961485916.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
pastas-de-dientes-ultrafresh,Pierrot,"Fushima, S.L.",Ultrafresh,Pastas de dientes,Proporciona una sensación de frescor intenso y duradero. Ideal para quienes buscan una higiene bucal con efecto mentolado prolongado.,,https://www.pierrot.es/wp-content/uploads/2025/06/Pasta_Ultrafresh-Photoroom-e1748961569802.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
cepillos-cepillos-adultos,Pierrot,"Fushima, S.L.",Cepillos adultos,Cepillos,"Amplia gama de cepillos manuales que se adaptan a distintas preferencias de uso. Modelos como Gold, Energy o Active combinan diseño funcional y calidad en los filamentos para una limpieza bucal eficaz.",,https://www.pierrot.es/wp-content/uploads/2025/07/Cepillos-Adultos-e1752744721214.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
cepillos-kits-dentales,Pierrot,"Fushima, S.L.",Kits dentales,Cepillos,"Kits diseñados para distintas situaciones que se producen fuera de casa: desde cepillos plegables individuales hasta sets completos con accesorios, según las necesidades que tengamos.",,https://www.pierrot.es/wp-content/uploads/2025/07/Kits-e1752760947467.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
cepillos-cuidado-especialista,Pierrot,"Fushima, S.L.",Cuidado especialista,Cepillos,"Línea formulada para necesidades bucodentales específicas: periodontitis, cuidados postquirúrgicos, ortodoncia, prótesis o hipersensibilidad. Productos con composiciones y formatos clínicamente adaptados.",,https://www.pierrot.es/wp-content/uploads/2025/06/Capillos_Especialistas-Photoroom-e1748962480619.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
cepillos-green,Pierrot,"Fushima, S.L.",Green,Cepillos,"Línea ecológica y sostenible: productos biodegradables, compostables, veganos, libres de BPA y con certificación FSC. Compromiso real con el medio ambiente.",,https://www.pierrot.es/wp-content/uploads/2025/07/Green-1-e1752761077947.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_FAMILY_REFERENCE_AND_VARIANTS_REVIEW_REQUIRED,https://www.pierrot.es/productos/
